Subject_ID,Official_Name,Alias_1,Alias_2,Source,Notes
0003,Unknown,"Samurai, Yokohama",,The Metropolitan Museum of Art,"Identity not established; Met catalog title used as working alias. Source record IMG-EA0003."
0004,Unknown,Portrait of a Persian Lady,,The Metropolitan Museum of Art,"Identity not established; artist and sitter both unidentified. Source record IMG-WA0007."
0005,Unknown (two men),"[Studio Portrait: Two Men each Holding Bamboo, Singapore]",,The Metropolitan Museum of Art,"Neither sitter identified; institutional bracketed title used as working alias. Source record IMG-SEA0006."
0006,Unknown,Ceylonese Woman,Woman from Ceylon,The Metropolitan Museum of Art,"Identity not established; ""Ceylonese"" is the historical colonial name for Sri Lanka. Source record IMG-SA0005."
0007,Unknown,Newhaven Fishwife,,The Metropolitan Museum of Art,"Identity not established; occupation supplied by historical title only, not confirmed. Source record IMG-NE0014."
