Record_ID,Title,Region_Category,Place,Photo_Date_or_Estimated_Range,Process_Type,Holding_Institution_Catalog_No,Copyright_Status,Attribution_Basis,Reliability_Rating,Location_Country_City_Island,Photographer_Name_Address,File_Path
IMG-EA0002,"Chinese Junks Sampans, Shanghai River",04_China,Shanghai,ca. 1865,Albumen silver print from glass negative,2005.100.583 (91b),Not verified,Attributed,Not verified,"China, Shanghai","Attributed to John Thomson",dataset/02_Regional_Reference/04_China/Shanghai/01_Photographic_Materials/
IMG-EA0001,"Under the Wave off Kanagawa (The Great Wave)",05_Japan,Kanagawa,ca. 1830-32,Woodblock print; ink and color on paper,JP1847,Not verified,Confirmed,Verified (original purpose),"Japan, Kanagawa","Katsushika Hokusai (1760-1849)",dataset/02_Regional_Reference/05_Japan/Kanagawa/01_Photographic_Materials/
IMG-WA0013,"[Palace of the Shah, Teheran, Iran]",06_Iran,Tehran,ca. 1840s-60s,Not verified,1977.683.12,Not verified,Attributed (tentative),Not verified,"Iran, Tehran",Possibly Luigi Pesce,dataset/02_Regional_Reference/06_Iran/Tehran/01_Photographic_Materials/
IMG-SA0004,"Pillars in the Recessed Portico in the Roya Gopuram..., Madura",07_India,Madurai,January-March 1858,Albumen silver print from waxed paper negative,2005.100.381.1.9,Not verified,Confirmed,Confirmed (verified original purpose),"India, Madurai",Linnaeus Tripe,dataset/02_Regional_Reference/07_India/Madurai/01_Photographic_Materials/
IMG-NAM0008,"Yosemite Falls, River View, 2637 Feet",08_United_States,Yosemite,ca. 1861,Albumen silver print from glass negative,2005.100.1274,Not verified,Confirmed,Not verified,"United States, California, Yosemite",Carleton E. Watkins,dataset/02_Regional_Reference/08_United_States/Yosemite/01_Photographic_Materials/
IMG-NAF0010,"Pyramid of Chephren (Khafre), Middle Egypt",09_Egypt,Giza,"Photographed Dec 10, 1849; printed 1852",Salted paper print (Blanquart-Evrard process) from paper negative,1981.1229.6.1,Not verified,Confirmed,Confirmed,"Egypt, Giza",Maxime Du Camp,dataset/02_Regional_Reference/09_Egypt/Giza/01_Photographic_Materials/
IMG-MAM0009,"La Prison, a Chichen-Itza",10_Mexico,Chichen_Itza,ca. 1857-89,Albumen silver print from glass negative,2005.100.565,Not verified,Confirmed,Not verified,"Mexico, Yucatan, Chichen Itza",Desire Charnay,dataset/02_Regional_Reference/10_Mexico/Chichen_Itza/01_Photographic_Materials/
IMG-WAF0012,"Uhunmwelao (head of an oba)",03_Artifacts/01_Nigeria,Benin_Court,Early 15th-mid-16th century,Cast brass and iron sculpture,1979.206.86,Not verified,Confirmed,Confirmed (verified original purpose),"Nigeria, Court of Benin","Artists of the Igun Eronwwon brass-casting guild",dataset/03_Artifacts/01_Nigeria/Benin_Court/01_Photographic_Materials/
IMG-WAF0011,Kente Prestige Cloth,03_Artifacts/02_Ghana,Kumasi,19th century,Woven cotton and silk textile,1972.56.1,Not verified,Unattributed,Not verified,"Ghana, Kumasi",Unknown,dataset/03_Artifacts/02_Ghana/Kumasi/01_Photographic_Materials/
