Subject_ID,Full_Name_Aliases,Birth_Death_Year,Photo_Date_or_Estimated_Range,Age_at_Photo,Process_Type,Holding_Institution_Catalog_No,Copyright_Status,Attribution_Basis,Reliability_Rating,Location_Country_City_Island,Photographer_Name_Address,File_Path
0003,"Unknown; Met catalog title ""Samurai, Yokohama""",Not verified,ca. 1864-65,Not verified,Albumen silver print from glass negative,2005.100.566,Not verified,Attributed,Not verified,"Japan, Yokohama",Felice Beato,dataset/01_Subjects/0003_Unknown_Samurai/08_Photographic_Materials/
0004,"Unknown; Met catalog title ""Portrait of a Persian Lady""",Not verified,Dated 1149 AH/1736-37 CE,Not verified,"Manuscript painting; ink, opaque watercolour and gold on paper",30.95.174.32,Not verified,Unattributed,Not verified,"Iran, attributed to Isfahan",Unknown,dataset/01_Subjects/0004_Unknown_Persian_Lady/08_Photographic_Materials/
0005,"Unknown (two men); Met catalog title ""[Studio Portrait: Two Men each Holding Bamboo, Singapore]""",Not verified,1860s,Not verified,Albumen silver print,2017.69.5,Not verified,Confirmed,Not verified,Singapore,John Thomson,dataset/01_Subjects/0005_Unknown_Men_Bamboo_Singapore/08_Photographic_Materials/
0006,"Unknown; Met catalog title ""Ceylonese Woman""",Not verified,ca. 1875-79,Not verified,Albumen silver print from glass negative,69.607.3,Not verified,Confirmed,Not verified,Sri Lanka (historical Ceylon),Julia Margaret Cameron,dataset/01_Subjects/0006_Unknown_Ceylonese_Woman/08_Photographic_Materials/
0007,"Unknown; Met catalog title ""Newhaven Fishwife""",Not verified,ca. 1843-47,Not verified,Salted paper print from paper negative,37.98.1.63,Not verified,Confirmed,Not verified,"Scotland, Newhaven, Edinburgh","David Octavius Hill and Robert Adamson",dataset/01_Subjects/0007_Unknown_Newhaven_Fishwife/08_Photographic_Materials/
